,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18,K=19,K=20,K=21,K=22,K=23,K=24,K=25,K=26,K=27,K=28,K=29,K=30,K=31,K=32,K=33,K=34,K=35,K=36,K=37,K=38,K=39,K=40,K=41,K=42,K=43,K=44,K=45,K=46,K=47,K=48,K=49
Layer 1,0.0,-54.21215057373047,-78.38529968261719,-104.39115905761719,-137.93417358398438,-181.99530029296875,-239.75155639648438,-315.04766845703125,-412.495361328125,-537.4425048828125,-695.7950439453125,-893.6400146484375,-1136.6326904296875,-1429.163330078125,-1773.406982421875,-2168.43408203125,-2609.603271484375,-3088.4111328125,-3592.85009765625,-4108.2099609375,-4618.162109375,-5105.97216796875,-5555.7353515625,-5953.5888671875,-6288.8232421875,-6554.72265625,-6748.8857421875,-6872.88330078125,-6931.365234375,-6930.9423828125,-6879.17236328125,-6783.8251953125,-6652.40625,-6491.85009765625,-6308.3154296875,-6107.07470703125,-5892.5048828125,-5668.16845703125,-5436.9482421875,-5201.23046875,-4963.091796875,-4724.45751953125,-4487.18212890625,-4253.0595703125,-4023.765869140625,-3800.809814453125,-3585.512451171875,-3378.992919921875,-3182.14501953125
Layer 2,0.0,-77.48880004882812,-144.69970703125,-241.05142211914062,-393.1672668457031,-633.0203857421875,-1001.6791381835938,-1545.0841064453125,-2299.020263671875,-3263.349609375,-4378.57763671875,-5528.6884765625,-6578.271484375,-7416.7451171875,-7977.51904296875,-8234.068359375,-8196.1708984375,-7910.7138671875,-7450.8369140625,-6890.5693359375,-6282.1953125,-5654.10791015625,-5026.0478515625,-4418.89453125,-3853.736328125,-3348.37060546875,-2910.69482421875,-2536.160888671875,-2211.004150390625,-1918.611083984375,-1649.44482421875,-1407.6622314453125,-1202.257080078125,-1034.463134765625,-898.6171875,-787.81591796875,-696.349609375,-619.9033203125,-555.251220703125,-499.97576904296875,-452.26373291015625,-410.7527770996094,-374.4100036621094,-342.43353271484375,-314.17742919921875,-289.1012878417969,-266.74127197265625,-246.6999969482422,-228.63858032226562
Layer 3,0.0,-10.011962890625,-14.117252349853516,-18.439613342285156,-24.020523071289062,-31.453752517700195,-41.507686614990234,-55.328460693359375,-74.66154479980469,-102.16909790039062,-141.88465881347656,-199.8292236328125,-284.71392822265625,-408.4415283203125,-585.8221435546875,-832.6033325195312,-1160.90771484375,-1572.088134765625,-2049.2041015625,-2553.790283203125,-3031.132568359375,-3424.30126953125,-3692.80224609375,-3824.586669921875,-3828.71728515625,-3718.66064453125,-3510.3076171875,-3231.44970703125,-2920.74560546875,-2612.969970703125,-2326.98779296875,-2069.512451171875,-1844.48828125,-1651.9066162109375,-1482.6265869140625,-1322.2340087890625,-1162.220703125,-1006.1717529296875,-863.7588500976562,-741.4583129882812,-640.00732421875,-556.8323974609375,-488.54180908203125,-432.0594177246094,-384.9056091308594,-345.1581726074219,-311.34356689453125,-282.3299560546875,-257.2393798828125
Layer 4,0.0,-0.4647309184074402,-0.5548460483551025,-0.6297448873519897,-0.7125042080879211,-0.8056232333183289,-0.9104750156402588,-1.028598427772522,-1.1618596315383911,-1.312607765197754,-1.4838026762008667,-1.6791027784347534,-1.903120517730713,-2.1621508598327637,-2.465592384338379,-2.827888011932373,-3.2702982425689697,-3.821173667907715,-4.512779235839844,-5.374573230743408,-6.429170608520508,-7.702287673950195,-9.24835205078125,-11.171757698059082,-13.615739822387695,-16.718059539794922,-20.573827743530273,-25.24650001525879,-30.809734344482422,-37.369205474853516,-45.04994583129883,-53.96171569824219,-64.16555786132812,-75.67862701416016,-88.51686096191406,-102.7000732421875,-118.1748046875,-134.72906494140625,-151.99241638183594,-169.4943084716797,-186.70497131347656,-203.0536651611328,-217.95118713378906,-230.8292999267578,-241.19021606445312,-248.65460205078125,-252.99838256835938,-254.17343139648438,-252.307373046875
