,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18,K=19,K=20,K=21,K=22,K=23,K=24,K=25,K=26,K=27,K=28,K=29,K=30,K=31,K=32,K=33,K=34,K=35,K=36,K=37,K=38,K=39,K=40,K=41,K=42,K=43,K=44,K=45,K=46,K=47,K=48,K=49,K=50
Layer 1,46.362361907958984,46.362361907958984,49.34407043457031,53.33835983276367,58.23649597167969,64.1478271484375,71.21876525878906,79.61018371582031,89.49452209472656,101.05531311035156,114.4850082397461,129.98143005371094,147.74073791503906,167.94879150390625,190.76992797851562,216.33303833007812,244.72032165527344,275.9552001953125,309.999267578125,346.74737548828125,386.0345153808594,427.6408996582031,471.304931640625,516.7332153320312,563.6111450195312,611.6182861328125,660.4376220703125,709.7651977539062,759.320556640625,808.8534545898438,858.144775390625,907.0103149414062,955.2944946289062,1002.8712158203125,1049.6434326171875,1095.5328369140625,1140.4808349609375,1184.4443359375,1227.396484375,1269.313720703125,1310.1884765625,1350.0145263671875,1388.7923583984375,1426.5308837890625,1463.2359619140625,1498.924560546875,1533.6102294921875,1567.3165283203125,1600.0645751953125,1631.8787841796875
Layer 2,27.375072479248047,27.375072479248047,33.76603317260742,43.133216857910156,55.34893798828125,70.99662017822266,90.90426635742188,116.03650665283203,147.40313720703125,185.9038848876953,232.09730529785156,285.96099853515625,346.77264404296875,413.2187805175781,483.6805114746094,556.5284423828125,630.295654296875,703.7445068359375,775.8916015625,846.0347290039062,913.7412109375,978.7891235351562,1041.0712890625,1100.53125,1157.1395263671875,1210.900634765625,1261.8614501953125,1310.118896484375,1355.7969970703125,1399.031494140625,1439.94384765625,1478.636474609375,1515.2047119140625,1549.7669677734375,1582.465576171875,1613.458251953125,1642.8992919921875,1670.9312744140625,1697.6776123046875,1723.2489013671875,1747.7366943359375,1771.21923828125,1793.7618408203125,1815.428955078125,1836.2752685546875,1856.35107421875,1875.70654296875,1894.3839111328125,1912.41845703125,1929.844970703125
Layer 3,14.380126953125,14.380126953125,16.10711669921875,18.256521224975586,20.730722427368164,23.568443298339844,26.836076736450195,30.621688842773438,35.04189682006836,40.251869201660156,46.45722579956055,53.92795944213867,63.011566162109375,74.14425659179688,87.85086059570312,104.72914123535156,125.40714263916016,150.46905517578125,180.349365234375,215.203857421875,254.80545043945312,298.5149230957031,345.3628845214844,394.20001220703125,443.8934020996094,493.4709167480469,542.153076171875,589.3092651367188,634.4278564453125,677.1524047851562,717.3107299804688,754.8999633789062,790.0364379882812,822.8994140625,853.696533203125,882.627197265625,909.85498046875,935.48974609375,959.6092529296875,982.2899780273438,1003.626953125,1023.725830078125,1042.69677734375,1060.6412353515625,1077.6566162109375,1093.8251953125,1109.221435546875,1123.9132080078125,1137.9583740234375,1151.41064453125
Layer 4,4.455463409423828,4.455463409423828,4.728208065032959,5.034080505371094,5.360164165496826,5.7067437171936035,6.074929714202881,6.465939044952393,6.881107330322266,7.321942329406738,7.790141582489014,8.287776947021484,8.817244529724121,9.381453514099121,9.98399543762207,10.629653930664062,11.325094223022461,12.079621315002441,12.905587196350098,13.81773853302002,14.831351280212402,15.960119247436523,17.21646499633789,18.615283966064453,20.17898941040039,21.938560485839844,23.928434371948242,26.178909301757812,28.713348388671875,31.550182342529297,34.70722198486328,38.202728271484375,42.05471420288086,46.27803421020508,50.88398361206055,55.88184356689453,61.28096389770508,67.08847045898438,73.30509948730469,79.92106628417969,86.91773986816406,94.26769256591797,101.93638610839844,109.88321685791016,118.06230926513672,126.4227066040039,134.91152954101562,143.47459411621094,152.0585174560547,160.61248779296875
