,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18,K=19,K=20,K=21,K=22,K=23,K=24,K=25,K=26,K=27,K=28,K=29,K=30,K=31,K=32,K=33,K=34,K=35,K=36,K=37,K=38,K=39,K=40,K=41,K=42,K=43,K=44,K=45,K=46,K=47,K=48,K=49
Layer 1,4.4992194175720215,4.501354217529297,4.5038886070251465,4.506938457489014,4.5106587409973145,4.515260696411133,4.521017074584961,4.528285026550293,4.537489414215088,4.549198150634766,4.564081192016602,4.582963943481445,4.606771469116211,4.636565208435059,4.673495292663574,4.718711853027344,4.773336887359619,4.838359355926514,4.914581298828125,5.002524375915527,5.102404594421387,5.214099884033203,5.337172508239746,5.470887184143066,5.614262104034424,5.766144752502441,5.925298690795898,6.090442657470703,6.26032829284668,6.433778285980225,6.609691619873047,6.787102699279785,6.965151309967041,7.143083572387695,7.3202643394470215,7.49613618850708,7.6702399253845215,7.842198848724365,8.011691093444824,8.17845630645752,8.342276573181152,8.50299072265625,8.660466194152832,8.814603805541992,8.965361595153809,9.112679481506348,9.256568908691406,9.397037506103516,9.5341215133667
Layer 2,1.8127076625823975,1.8157474994659424,1.820796012878418,1.8290400505065918,1.842367172241211,1.863620638847351,1.8968170881271362,1.9471092224121094,2.0201914310455322,2.1209676265716553,2.251904010772705,2.4119884967803955,2.597001552581787,2.8007402420043945,3.016347646713257,3.2372660636901855,3.4578120708465576,3.6735527515411377,3.881387710571289,4.079382419586182,4.266443729400635,4.442027568817139,4.605998992919922,4.7585577964782715,4.900198459625244,5.031628131866455,5.153672695159912,5.267162799835205,5.372835636138916,5.4713311195373535,5.5631914138793945,5.648971080780029,5.72923469543457,5.804529190063477,5.8753557205200195,5.942150115966797,6.005301475524902,6.0651350021362305,6.121953010559082,6.176011562347412,6.2275390625,6.27673864364624,6.323793888092041,6.368865013122559,6.412099361419678,6.45363187789917,6.49357795715332,6.532042026519775,6.569125175476074
Layer 3,0.8946318030357361,0.8958559632301331,0.8974355459213257,0.8994632959365845,0.9020699858665466,0.9054285287857056,0.9097710251808167,0.9154118299484253,0.9227832555770874,0.9324862360954285,0.9453626275062561,0.9625874161720276,0.9857719540596008,1.0170478820800781,1.0590624809265137,1.1147844791412354,1.1870410442352295,1.2778311967849731,1.3876534700393677,1.5151649713516235,1.6573326587677002,1.8100155591964722,1.9687747955322266,2.1295764446258545,2.2890913486480713,2.4446685314178467,2.594297409057617,2.736677646636963,2.8712337017059326,2.9979517459869385,3.117133140563965,3.2292256355285645,3.334768056869507,3.434309959411621,3.5283045768737793,3.6170525550842285,3.700756549835205,3.7796311378479004,3.8539645671844482,3.9240989685058594,3.9903931617736816,4.053189277648926,4.112803936004639,4.169520378112793,4.223591327667236,4.275239944458008,4.324666976928711,4.37204647064209,4.417539119720459
Layer 4,0.26266416907310486,0.2629969120025635,0.2633734345436096,0.2637982666492462,0.26427748799324036,0.26481783390045166,0.2654268443584442,0.26611295342445374,0.26688557863235474,0.2677551507949829,0.26873350143432617,0.26983386278152466,0.2710711658000946,0.27246254682540894,0.2740277349948883,0.27579009532928467,0.27777808904647827,0.28002679347991943,0.2825802266597748,0.28549256920814514,0.2888289988040924,0.2926656901836395,0.2970915138721466,0.30221182107925415,0.3081541657447815,0.31507161259651184,0.3231413662433624,0.3325584828853607,0.3435281217098236,0.35625800490379333,0.37095150351524353,0.38779976963996887,0.4069715738296509,0.42860373854637146,0.4527950584888458,0.47960296273231506,0.5090417861938477,0.5410783886909485,0.5756280422210693,0.6125528216362,0.6516633629798889,0.6927235126495361,0.7354575991630554,0.7795597314834595,0.8247044086456299,0.8705587983131409,0.9167944192886353,0.9630985856056213,1.0091841220855713
