,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18,K=19,K=20,K=21,K=22,K=23,K=24,K=25,K=26,K=27,K=28,K=29,K=30,K=31,K=32,K=33,K=34,K=35,K=36,K=37,K=38,K=39,K=40,K=41,K=42,K=43,K=44,K=45,K=46,K=47,K=48,K=49
Layer 1,0.0,0.7328969240188599,0.7716248631477356,0.8098025918006897,0.8439598679542542,0.873500645160675,0.8983937501907349,0.9188925623893738,0.9354028701782227,0.9483963847160339,0.958318293094635,0.96554034948349,0.970325767993927,0.9728184938430786,0.9730648994445801,0.9710386991500854,0.9667098522186279,0.9600713849067688,0.9512054920196533,0.940270721912384,0.9275103807449341,0.9132096171379089,0.8976489305496216,0.8810611963272095,0.8635899424552917,0.8453107476234436,0.8262758255004883,0.8065711259841919,0.7863399982452393,0.7657842636108398,0.7451184988021851,0.7245439291000366,0.7042407989501953,0.6843747496604919,0.6651143431663513,0.646632194519043,0.6291021704673767,0.6126799583435059,0.5974984765052795,0.5836384892463684,0.5711219906806946,0.5599045157432556,0.5498982071876526,0.5409950017929077,0.5330788493156433,0.5260173082351685,0.5196315050125122,0.5137025117874146,0.5080065131187439
Layer 2,0.0,0.999476432800293,0.9996135830879211,0.9996739029884338,0.9996262192726135,0.9993749856948853,0.9986880421638489,0.9970393776893616,0.993428111076355,0.9862276315689087,0.9733589291572571,0.953038215637207,0.9248680472373962,0.890458345413208,0.852786123752594,0.8145110607147217,0.7764825224876404,0.7379522323608398,0.6982274651527405,0.6584204435348511,0.6214746236801147,0.5894818902015686,0.5619642734527588,0.5369887948036194,0.5108323097229004,0.47984230518341064,0.4450300931930542,0.41243624687194824,0.3911817669868469,0.391006737947464,0.4201279282569885,0.4786369204521179,0.5541923642158508,0.6299294829368591,0.6957026720046997,0.7492253184318542,0.7918038964271545,0.8255321979522705,0.8523342609405518,0.8737624287605286,0.8910202383995056,0.9050347208976746,0.9165127873420715,0.9260027408599854,0.9339172840118408,0.9405699372291565,0.9461953639984131,0.9509686827659607,0.9550257325172424
Layer 3,0.0,0.9980334639549255,0.9969596862792969,0.9960638880729675,0.9951746463775635,0.9942943453788757,0.9935450553894043,0.9931125044822693,0.9931902289390564,0.993834376335144,0.9948678016662598,0.9959397315979004,0.9966771602630615,0.9967484474182129,0.9957729578018188,0.9931285977363586,0.9878093600273132,0.9784258604049683,0.9635846018791199,0.9425479769706726,0.9155651926994324,0.883129358291626,0.8453470468521118,0.8034346699714661,0.7612782120704651,0.7226762175559998,0.6874980926513672,0.6519542932510376,0.6123484969139099,0.569700300693512,0.5283915400505066,0.4889924228191376,0.44986578822135925,0.4150387942790985,0.3924201726913452,0.3873252272605896,0.40077608823776245,0.43043485283851624,0.47159522771835327,0.5186113715171814,0.56663578748703,0.6125171184539795,0.6546401977539062,0.6924031376838684,0.7257797122001648,0.7550414800643921,0.7805848717689514,0.8028479814529419,0.8222573399543762
Layer 4,0.0,0.999229371547699,0.9989590644836426,0.9987673163414001,0.9985556602478027,0.9982942342758179,0.9979653358459473,0.9975334405899048,0.9969634413719177,0.9962001442909241,0.9951729774475098,0.993815004825592,0.9920738935470581,0.9899675846099854,0.9876444339752197,0.9854370355606079,0.9838441610336304,0.9833109974861145,0.9838896989822388,0.9851455688476562,0.9865691661834717,0.9880109429359436,0.9896091222763062,0.9914358854293823,0.9934053421020508,0.9953210353851318,0.996949315071106,0.998097836971283,0.9987068176269531,0.9987671375274658,0.9982695579528809,0.9971645474433899,0.9953969120979309,0.992917537689209,0.9896770715713501,0.9856739640235901,0.980964183807373,0.9756392240524292,0.9698191285133362,0.963630199432373,0.9572242498397827,0.9507454633712769,0.9443168044090271,0.9380447864532471,0.9320348501205444,0.9263978004455566,0.9212406277656555,0.9166523218154907,0.9126784205436707
