,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16,K=17,K=18,K=19,K=20,K=21,K=22,K=23,K=24,K=25,K=26,K=27,K=28,K=29,K=30,K=31,K=32,K=33,K=34,K=35,K=36,K=37,K=38,K=39,K=40,K=41,K=42,K=43,K=44,K=45,K=46,K=47,K=48,K=49
Layer 1,0.0,-17.359880447387695,-24.93886947631836,-32.943702697753906,-43.14527130126953,-56.37351608276367,-73.44448852539062,-95.26898956298828,-122.81974792480469,-157.027587890625,-198.602294921875,-247.7642364501953,-303.9021911621094,-365.2017822265625,-428.3434143066406,-488.38427734375,-538.9349975585938,-572.6700439453125,-582.1212158203125,-560.602294921875,-503.068115234375,-406.70904541015625,-271.20135498046875,-98.63404083251953,106.80584716796875,339.30914306640625,592.0509033203125,857.8697509765625,1129.895263671875,1402.0361328125,1669.24267578125,1927.64990234375,2174.567138671875,2408.40625,2628.4677734375,2834.64013671875,3027.0595703125,3205.8203125,3370.84228515625,3521.8564453125,3658.523193359375,3780.5771484375,3887.9541015625,3980.869140625,4059.76318359375,4125.2138671875,4177.8154296875,4218.10302734375,4246.56201171875
Layer 2,0.0,63.286338806152344,84.84078979492188,96.91201782226562,102.58357238769531,98.861328125,82.56700134277344,55.48993682861328,32.032779693603516,46.106666564941406,148.6073455810547,390.5050048828125,801.3775634765625,1378.86181640625,2090.92529296875,2882.87158203125,3687.70361328125,4444.0419921875,5112.54541015625,5676.6318359375,6132.9375,6483.98388671875,6736.4228515625,6901.8779296875,6994.28564453125,7026.91748046875,7009.4990234375,6945.16162109375,6833.81884765625,6675.9755859375,6473.58642578125,6234.36328125,5976.0439453125,5717.7392578125,5470.84033203125,5239.708984375,5025.0927734375,4826.044921875,4640.83984375,4467.55908203125,4304.5244140625,4150.53271484375,4004.869140625,3867.125,3736.99462890625,3614.022216796875,3497.545654296875,3386.701416015625,3280.591552734375
Layer 3,0.0,-37.88829803466797,-47.19178009033203,-54.4544677734375,-62.64076232910156,-72.36680603027344,-84.1480712890625,-98.6922836303711,-117.01206970214844,-140.5498046875,-171.3426055908203,-212.1600799560547,-266.33294677734375,-336.8863525390625,-424.805419921875,-526.5686645507812,-631.40087890625,-719.6257934570312,-764.8462524414062,-741.95068359375,-638.0010986328125,-458.1746826171875,-220.71473693847656,57.19153594970703,369.3621826171875,711.3064575195312,1061.461181640625,1381.017333984375,1635.10205078125,1811.255615234375,1918.747314453125,1973.844482421875,1988.7349853515625,1972.71044921875,1937.29345703125,1895.625732421875,1856.065673828125,1818.502685546875,1778.5662841796875,1733.513671875,1683.66748046875,1630.8487548828125,1576.96142578125,1523.438720703125,1471.223388671875,1420.869384765625,1372.66455078125,1326.747314453125,1283.1220703125
Layer 4,0.0,-5.2313714027404785,-5.813157558441162,-6.157194137573242,-6.5011420249938965,-6.855923652648926,-7.220263957977295,-7.5915303230285645,-7.965864181518555,-8.337721824645996,-8.699502944946289,-9.042398452758789,-9.359420776367188,-9.65066146850586,-9.929479598999023,-10.229950904846191,-10.612245559692383,-11.156980514526367,-11.939117431640625,-12.989738464355469,-14.286887168884277,-15.815074920654297,-17.65981674194336,-20.035293579101562,-23.19652557373047,-27.302499771118164,-32.346553802490234,-38.220489501953125,-44.85674285888672,-52.30891799926758,-60.69023895263672,-70.04124450683594,-80.2750015258789,-91.25321960449219,-102.87661743164062,-115.07229614257812,-127.71011352539062,-140.5355987548828,-153.16363525390625,-165.11412048339844,-175.85595703125,-184.85203552246094,-191.60784912109375,-195.72100830078125,-196.92398071289062,-195.1120147705078,-190.35147094726562,-182.8677520751953,-173.02005004882812
